Formation;Module;Type;Référence;Point à arbitrer;Statut (à remplir)
"FIMO Marchandises & FCO obligatoire";"Thème 3 — Santé, sécurité routière et environnementale";"QR";"FIMO-T3-QR-04";"Exact sur l'essentiel : le constat amiable n'est pas obligatoire, remplir sa partie seul en mentionnant le refus de signer est la bonne conduite, le 17 est le bon numéro face aux menaces, déclaration à l'assureur sous 5 jours ouvrés. Point éditorial à arbitrer : « protège presque autant qu'un constat signé » surestime la valeur probante, un constat non contresigné ne valant pas preuve de la responsabilité adverse.";""
"FIMO Marchandises & FCO obligatoire";"Thème 4 — Service, logistique et image du métier";"QR";"FIMO-T4-QC-05";"Point éditorial : la trame écouter / reformuler / proposer / conclure est une version standard en relation client, mais aucun texte officiel (Code des transports, programme FIMO de l'arrêté du 3 janvier 2008) ne fixe l'intitulé des « quatre temps ». L'alignement avec le support pédagogique du centre ne peut pas être tranché par une recherche documentaire ; à valider par le formateur référent.";""
"FIMO Marchandises & FCO obligatoire";"Thème 4 — Service, logistique et image du métier";"QR";"FIMO-T4-QC-10";"Cœur du corrigé exact : la réserve reste un constat factuel, la cause et le responsable relèvent de l'expertise. À arbitrer : l'affirmation qu'une cause écrite pourrait engager la responsabilité du transporteur n'est adossée à aucun texte identifié (recherche non concluante) ; et le risque de confusion avec le chargement, où mentionner « chargement effectué par l'expéditeur » est au contraire recommandé (art. 17.4 CMR). Aucune donnée chiffrée fausse.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 2 — Les véhicules, les carrosseries et les marchandises";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch02:ex2.3";"Les deux points signalés sont éditoriaux : la largeur utile absente de l'énoncé et le choix de la convention de calcul des mètres linéaires (rangée : 9,20 ml, ou surface/largeur : 8,43 ml) relèvent d'une harmonisation pédagogique du chapitre, pas d'une norme vérifiable. Le barème tolère déjà les deux méthodes ; les valeurs accessoires citées (largeur hors tout 2,55 m, 2,60 m en frigorifique, art. R312-10 code de la route) sont exactes.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 2 — Les véhicules, les carrosseries et les marchandises";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch02:ex2.5";"Arithmetique exacte : 1,536 m3 x 18 = 27,648 ; x 330 = 9 123,84 kg ; 9 x 0,80 = 7,20 ml ; x 1 790 = 12 888 kg ; max = 12 888 kg ; 3,60 ml x 1 790 = 6 444 kg ; 600 kg/palette. Point editorial : l'enonce dit « palettes EUR (80 cm de large) chargees par paires » alors que le corrige place le cote 1,20 m dans la largeur. La lecture litterale (2 x 0,80 = 1,60 m, rangees de 1,20 m) donne 10,80 ml et 19 332 kg, cas non couvert par la tolerance du bareme.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 2 — Les véhicules, les carrosseries et les marchandises";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch02:ex2.6";"La capacité de référence d'une semi de 13,60 m (34 palettes par calcul strict 13,60/0,40, ou 33 en usage professionnel) est une convention de cours à fixer par le concepteur : aucune norme réglementaire ne tranche, et le barème accepte déjà les deux réponses justifiées. Les compléments d'énoncé demandés (poids, non-gerbabilité, largeur utile) sont également éditoriaux. La seule donnée réglementaire citée (44 t à 5 essieux en national, R312-4) est exacte.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.1";"Le point signalé est purement éditorial : les données chiffrées de l'annexe (kilométrage, jours, charges, CA) sont absentes de la base et doivent être réinjectées depuis le PDF d'origine avant de repasser needs_review à false, ce qu'aucune recherche réglementaire ne peut trancher. Les formules du corrigé méthodologique sont standard et la mention de la taxe annuelle sur l'utilisation des véhicules lourds (ex-taxe à l'essieu, codifiée au CIBS) est correcte et sans montant.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.2";"Les valeurs derivees sont exactes (110 000/220 = 500 km/j ; 784 x 220 = 172 480 EUR ; 784/500 = 1,568 EUR/km) et les formules de seuil de rentabilite du corrige (SR = charges fixes / taux de MCV, CAC = CF/t, MCV = CA - CV) sont conformes aux references. Le point signale, l'absence de l'annexe des charges du POR 85, est une donnee manquante de l'enonce que la recherche web ne peut pas combler : les resultats chiffres doivent etre completes par le formateur depuis l'annexe d'origine.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.3";"Le traitement de la marge de 7 % du prix de vente est correct : une marge exprimee en pourcentage du prix de vente est un taux de marque, d'ou PV = cout de revient / (1 - 0,07) = CR / 0,93, et non CR x 1,07 (definition confirmee par Bpifrance Creation : taux de marque = marge / prix de vente HT). Les formules de rentabilite sont conformes. Le point bloquant signale, l'annexe chiffree du porteur 19 t absente de la base, est une donnee manquante non resoluble par recherche : les resultats chiffres restent a completer par le formateur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.4";"La demarche du corrige est conforme aux references (masse salariale majoree de l'absenteisme, formes trinome/binome/monome, SR = CF / MCV, CAC = CF / taux de MCV, point mort) et le retrait de la mention non sourcee de 47 semaines est prudent : le nombre de semaines d'exploitation est une donnee d'annexe, non normalisee. Le point signale, l'annexe 1 des conditions d'exploitation absente de la base, est une donnee manquante de l'enonce que la recherche ne peut pas combler ; a completer par le formateur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.5";"La regle du payant-pour decrite (comparaison du prix au poids taxable reel avec le prix au poids plancher de la tranche superieure, facturation du montant le plus favorable au client) est conforme a l'usage professionnel documente pour les tarifs degressifs de messagerie ; les regles 250 kg/m3, primaute du poids reel et arrondi au kg superieur sont donnees par l'enonce lui-meme. Le point signale, les prix HT dependant de la grille MATO en annexe image non lisible, est une donnee manquante a renseigner par le formateur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.7";"Les points verifiables sont exacts : la terminologie rectifiee est correcte (taux de marge = marge / cout ; taux de marque = marge / prix de vente, d'ou PV = CR / (1 - taux)) et toutes les durees du reglement CE 561/2006 citees sont conformes (4 h 30 puis pause de 45 min fractionnable 15 puis 30 min, 9 h portees a 10 h deux fois par semaine, 56 h hebdomadaires, 90 h sur deux semaines, repos journalier de 11 h reductible a 9 h trois fois). Le point restant, l'absence totale des donnees chiffrees d'ATLANTIC FRET SERVICES en base, est une donnee manquante a recuperer aupres du formateur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.8";"Les elements reglementaires du corrige sont confirmes en vigueur : TVA au taux normal de 20 % sur le transport interieur de marchandises (art. 278 CGI), indexation gazole obligatoire prevue aux articles L. 3222-1 et L. 3222-2 du code des transports, et 44 t maximum pour les ensembles de plus de 4 essieux en transport national (art. R. 312-4 du code de la route). Le point signale, la grille tarifaire TRANSGO et la liste des commandes en annexe image non lisible, est une donnee manquante : le corrige chiffre doit etre complete par le formateur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 4 — Calculer le coût de revient et tarifer une prestation";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch04:ex4.9";"Tous les calculs du corrige ont ete reverifies et sont exacts : 0,80 x 1,20 x 2,23 = 2,1408 m3 ; x 22 = 47,0976 m3 ; x 330 = 15 542 kg ; 22 x 0,40 = 8,80 ml ; x 1 790 = 15 752 kg ; poids taxable arrondi 15 800 kg, le poids metrique dominant dans les deux hypotheses de hauteur (regle du poids le plus eleve conforme a l'usage professionnel). Les points signales restants sont non resolubles par recherche : la grille tarifaire (Q7) et le payant-pour chiffre (Q8) dependent de l'annexe image absente, et l'ambiguite de l'enonce sur la hauteur (palette comprise vs + 0,15 m) est editoriale.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 5 — Rédiger une offre commerciale";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch05:ex5.1";"Les points signalés sont purement éditoriaux : le prix du transport principal figure dans l'annexe de l'exercice 4.8 (à reporter par le formateur) et l'harmonisation TECHNIBOIS/TECHNOBOIS ainsi que la coquille d'adresse relèvent de la relecture de l'énoncé. Les ancrages réglementaires du corrigé sont par ailleurs exacts : indexation gazole L.3222-1/L.3222-2 du code des transports et paiement à 30 jours à compter de l'émission de la facture (art. L.441-11 du code de commerce, en vigueur).";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 6 — Choisir et affecter les moyens matériels et humains";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch06:ex6.1";"La capacité de 33 palettes EUR au sol pour une semi-remorque standard de 13,60 m (3 rangées de 11) est confirmée par les références professionnelles du secteur, et l'absence de grue sur SREM-03 est cohérente avec l'énoncé qui n'en mentionne aucune. En revanche, le rattachement de la mention « REPOS JOURNALIER jusqu'à 14h » à Martin LACHAUD et le sens exact de la colonne FCO (échéance ou date de la dernière FCO suivie) dépendent de la mise en page de l'annexe d'origine, non disponible : la recherche ne permet pas de trancher.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 6 — Choisir et affecter les moyens matériels et humains";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch06:ex6.4";"Les points signalés sont éditoriaux : les six annexes SUPRAMA ne sont pas en base et l'intitulé de la question 1 est tronqué, ce que seule la restauration du sujet original peut résoudre. Les ancrages du corrigé sont par ailleurs exacts et en vigueur : 16,50 m ensemble articulé et 18,75 m train routier (art. R.312-11 et R.312-10 du code de la route), largeur 2,55 m portée à 2,60 m pour les parois épaisses à température dirigée, 44 t sur 5 essieux (art. R.312-4), seuils du règlement CE 561/2006 correctement cités.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 7 — Les documents de transport";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch07:ex7.3";"Le point signalé est éditorial : la lettre de voiture de l'annexe n'est pas disponible en base, donc la ventilation exacte Présente/Manquante des 12 mentions ne peut être établie que sur le document réel avant publication. Le cadre juridique de repli existe si le formateur souhaite citer une référence : l'arrêté du 9 novembre 1999 relatif aux documents de transport devant se trouver à bord des véhicules de transport routier de marchandises fixe les mentions de la lettre de voiture (vérifié sur Légifrance).";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 8 — Planifier et optimiser les opérations";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch08:ex8.1";"Point editorial : l'annexe 2 (puits de commandes, absences, indisponibilites) est indispensable pour etablir les affectations chiffrees et n'est pas accessible ; la recherche ne peut s'y substituer. Les seuils RSE cites (4 h 30 / 45 min fractionnable 15 + 30, 9 h portable a 10 h deux fois par semaine, 56 h, 90 h sur deux semaines, 11 h reductible a 9 h, 45 h reductible a 24 h avec compensation) sont confirmes conformes au reglement CE 561/2006 en vigueur en 2026, verifies sur le site du ministere charge des transports.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 8 — Planifier et optimiser les opérations";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch08:ex8.2";"Les deux sous-points verifiables sont exacts : (a) la limite de 12 h de temps de service quotidien du personnel roulant marchandises releve du droit national (decret 83-40 codifie au code des transports), confirmee par le ministere charge des transports, non du reglement CE 561/2006 ; (b) une semi-remorque standard de 13,60 m charge bien 33 palettes europe au sol (ordre de grandeur indicatif correct). En revanche, les horaires d'arrivee et le temps de service total exigent l'annexe des distances/temps, absente de l'enonce stocke : point editorial non tranchable ici.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 8 — Planifier et optimiser les opérations";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch08:ex8.3";"Point editorial : la liste des offres de fret et le credit de conduite deja consomme par LACHAUD figurent dans une annexe absente de l'enonce stocke ; l'offre a retenir et les valeurs numeriques ne peuvent pas etre completees par la recherche. Les contraintes reglementaires citees dans la methode (conduite continue 4 h 30 puis interruption 45 min fractionnable 15 + 30, conduite journaliere 9 h portable a 10 h deux fois par semaine) sont confirmees conformes au reglement CE 561/2006 en vigueur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 9 — La réglementation sociale européenne (RSE)";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch09:ex9.1";"Point editorial : l'incoherence de l'enonce est averee (un retour au depot le mardi est impossible apres un aller de 1 045 km acheve le mardi a 13 h 52) et seul l'auteur peut trancher entre reformulation et maintien de la lecture aller simple du corrige, sans incidence sur les quatre questions. Les calculs recontroles sont exacts (1 045 / 68 = 15,3676 h = 15 h 22 ; 612 + 433 km ; repos de 11 h acheve avant la fin de la periode de 24 h) et les seuils cites sont conformes au reglement CE 561/2006 en vigueur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 9 — La réglementation sociale européenne (RSE)";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch09:ex9.2";"Point editorial : le releve hebdomadaire d'activites de Nicolas DURAND est absent de l'enonce stocke ; la liste nominative des infractions et les ecarts chiffres ne peuvent pas etre etablis, et la repartition des 2 pts de Q1 depend du nombre reel d'infractions. Les grilles du corrige sont exactes : seuils conformes au reglement CE 561/2006 (dont compensation du repos hebdomadaire reduit avant la fin de la troisieme semaine et debut du repos hebdomadaire au plus tard apres six periodes de 24 h), consignes internes fideles a l'annexe 1 presente dans l'enonce.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 9 — La réglementation sociale européenne (RSE)";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch09:ex9.3";"Point editorial : le tableau hebdomadaire des activites et le total de conduite de la semaine precedente sont absents de l'enonce stocke ; les questions 2 a 4 ne peuvent donc pas etre chiffrees, et la question 4 reste indeterminable sans la semaine N-1. Les seuils et definitions cites dans le corrige sont confirmes conformes au reglement CE 561/2006 en vigueur : 56 h hebdomadaires, 90 h sur deux semaines consecutives, semaine du lundi 00 h 00 au dimanche 24 h 00, et le calcul de controle 90 - 56 = 34 h est exact.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 9 — La réglementation sociale européenne (RSE)";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch09:ex9.4";"Le sous-point ADR est confirme exact tel que redige : la formation de base ADR couvre les classes 2 a 9 hors classe 7 (donc la classe 8, corrosifs), les classes 1 et 7 relevant de specialisations completant un certificat de base (article 16 de l'arrete TMD du 29 mai 2009, renvoyant aux 8.2.1 et 8.2.2 de l'ADR) ; un certificat classe 7 seul ne couvre pas la classe 8. En revanche, l'incoherence des millesimes codes (controle au 18/03/20AA, FCO suivie en octobre 20AC, posterieure) est un point editorial que seul l'auteur peut lever.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 10 — Encadrer une équipe de conducteurs";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch10:ex10.1";"Point editorial : l'incoherence geographique est averee, Voiron (38) etant a environ 200 a 250 km par la route de Clermont-Ferrand selon les distanciers courants, soit plus de 3 h a 68 km/h, incompatible avec les 15 min du distancier de l'enonce ; seul l'auteur peut verifier le distancier de reference de l'epreuve ou corriger l'enonce. Le corrige applique litteralement les donnees fournies (238 km a 68 km/h + 2 x 15 min d'approche) sans erreur de calcul induite, et la conclusion de conformite RSE resterait inchangee dans l'autre lecture signalee.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 10 — Encadrer une équipe de conducteurs";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch10:ex10.3";"Arithmétique exacte (172 h, 24 HS, 152,00, 364,80, 2 614,40, 48,64, 868,56, 446,88, 1 315,44, brut 3 179,84, total 4 495,28). Mais la méthode imposée par l'énoncé diverge de la CCNTR : pour un grand routier le décompte est mensuel, avec 25 % de la 153e à la 186e heure et 50 % à partir de la 187e (soit 34 h et 10 h ici). La période de nuit en TRM est 21h-6h et la majoration de 20 % s'assoit sur le taux conventionnel 150M. Corriger le corrigé obligerait à refaire l'énoncé.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 11 — Le suivi d'exploitation et la gestion des aléas";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch11:ex11.2";"Point purement éditorial : le tableau du programme de tournée doit être réintégré dans l'énoncé, ce que la recherche documentaire ne peut pas trancher. Au passage, les valeurs du règlement CE 561/2006 citées par le corrigé (4 h 30 de conduite continue, pause de 45 min fractionnable en 15 + 30, 9 h de conduite journalière, repos journalier de 11 h) sont exactes.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 13 — Qualité, indicateurs de performance et analyse financière";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch13:ex13.1";"Aucun texte officiel ne fixe de seuils d'alerte pour ces KPI (ponctualité, km à vide, litiges, remplissage, utilisation du parc) : ce sont des conventions de gestion professionnelles. Le choix des seuils et leur éventuel remplacement par la grille d'objectifs de l'annexe est un arbitrage pédagogique non tranchable par la recherche ; la précaution déjà inscrite dans le corrigé et le barème est adaptée. Les calculs, eux, sont déjà revérifiés par le rédacteur.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 13 — Qualité, indicateurs de performance et analyse financière";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch13:ex13.2";"Points signalés éditoriaux : montants de l'annexe absents de la base, convention 360/365 jours (360 est l'usage dominant en analyse financière, à ajuster sur la consigne de l'annexe) et énoncé tronqué sur la question 4 ; rien n'est tranchable par la recherche. Vérifié au passage : le plafond de 30 jours à compter de la date d'émission de la facture propre au transport routier de marchandises (art. L.441-11 C. com., issu de la loi Gayssot) cité en commentaire est exact.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 13 — Qualité, indicateurs de performance et analyse financière";"QR";"mft-2026-gotrm-ccp1-qr-v2:ch13:ex13.3";"Points purement éditoriaux : les montants du bilan 20AA et du compte de résultat 20AB ainsi que la structure imposée du tableau figurent dans l'annexe non lisible en base. Les formules FRNG, BFR, TN et la cascade VA, EBE, REX, RCAI, CAF du corrigé sont conformes au plan comptable général, mais aucun résultat chiffré ni l'anomalie ne peuvent être validés sans l'annexe.";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 2 — Les véhicules, les carrosseries et les marchandises";"QCM";"mft-2026-gotrm-livret:ch02:qcm:4";"Deux choix défendables. La référence métier quasi unanime est 33 palettes au sol pour une semi 13,60 m (ops.fr, flatcargo.com, destockageenligne.fr...) ; 34 n'est atteint qu'en théorie (17 rangs de 2 palettes côté 120 cm en largeur, jeu nul) ou sur méga 13,62 m (LKW Walter : « jusqu'à 34 »). L'explication se contredit d'ailleurs : 3 palettes de front donne 11 rangs x 3 = 33, pas 34. Recommandation : clé 33 avec explication corrigée, ou énoncé précisant « théorique, sans jeu ».";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 12 — Facturation, litiges et clôture des dossiers";"QCM";"mft-2026-gotrm-livret:ch12:qcm:4";"Clé b exacte dans le contexte transport, mais l'explication cite la mauvaise base légale : en droit commun LME, les 30 jours courent après réception des marchandises ou exécution de la prestation (L441-10), pas depuis l'émission. Ce qui rend « 30 jours date d'émission » exact ici, c'est la règle spéciale transport de l'article L441-11, II, 6° du code de commerce, impérative et sans dérogation possible. [Contre-vérification : non confirmé : Fond confirmé (30 j date d'émission impératif, L441-11 vs L441-10), mais Légifrance place le transport routier au II, 5° de L441-11, pas au II, 6° (le 6° = agroéquipement). La nouvelle explication graverait une référence légale fausse ; attribution « loi Gayssot » aussi douteuse (loi 2006-10).]";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 12 — Facturation, litiges et clôture des dossiers";"QCM";"mft-2026-gotrm-livret:ch12:qcm:7";"Aucun choix n'est juridiquement exact : l'article L133-3 du code de commerce ne distingue pas avarie apparente et avarie occulte, la protestation motivée (LRAR) doit intervenir dans les 3 jours, non compris les jours fériés, suivant la RÉCEPTION, et non la découverte. La clé b enseigne un point de départ du délai faux (un destinataire qui attendrait la découverte serait forclos). L'item doit être réécrit : « LRAR dans les 3 jours suivant la livraison, d'où l'intérêt de déballer sans délai ».";""
"Gestionnaire des Opérations de Transport Routier de Marchandises";"Chapitre 13 — Qualité, indicateurs de performance et analyse financière";"QCM";"mft-2026-gotrm-livret:ch13:qcm:4";"Les choix a et b designent le meme concept (CA moins charges variables) et developpent tous deux l'acronyme MCV : ""marge sur cout variable"" est le terme consacre, mais ""marge sur charges variables"" est un synonyme courant, employe par l'explication du QCM elle-meme (""CA - Charges Variables""). Un stagiaire choisissant a serait penalise a tort. Recommandation : remplacer le distracteur a par un developpement reellement faux (ex. ""Marge Commerciale Variable"").";""
"Préparation à l'examen national Commissionnaire de transport";"Module 1 : Le métier de commissionnaire de transport";"QCM";"COMM-M1-QCM-04";"Clé factuellement fausse : le registre des commissionnaires n'a PAS été supprimé. Les art. R.1422-1 s. du code des transports sont en vigueur au 24/07/2026, l'inscription se fait toujours auprès de la DREAL (Cerfa 16092) et l'examen national annuel subsiste (session du 8 octobre 2025). Mais aucun distracteur n'est exact non plus : b valide « il suffit de s'inscrire » en occultant les conditions préalables de capacité professionnelle et d'honorabilité. Question à réécrire par le formateur.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 2 : Le contrat de commission et les responsabilités";"QR";"COMM-M2-QC-04";"Fondement exact (devoir de conseil, plafonds par colis/kg, faute personnelle hors plafond). Deux points éditoriaux : la Cour de cassation juge que le commissionnaire n'a pas d'obligation d'assurer sans instruction, seulement un devoir de conseil ; et la réparation d'une perte de chance est par principe partielle, elle ne peut égaler tout le différentiel indemnité plafonnée / valeur réelle. À trancher par le formateur : aucun chiffre ni article faux.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 2 : Le contrat de commission et les responsabilités";"QR";"COMM-M2-QR-07";"Dossier A et maintien de la garantie envers le client dans le dossier B : exacts. À arbitrer : le corrigé fait découler l'extinction du recours du seul dépassement du délai de réserves de trois jours, alors que l'art. R5422-24 n'y attache qu'une présomption simple de conformité au connaissement, l'extinction résultant de la prescription annale. L'énoncé restant ambigu sur les délais dépassés, la formulation relève d'un choix pédagogique à trancher par le formateur.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 3 : Organiser le transport multimodal";"QR";"COMM-M3-QC-03";"Les critères cités (nature de la marchandise, délai, coût, distance/géographie, sûreté/réglementation) correspondent aux critères usuels du choix modal dans les références professionnelles, mais le point à confirmer porte sur l'intitulé exact des cinq items du support interne du module M3, invérifiable par recherche web. Point éditorial d'alignement pédagogique, sans erreur factuelle détectée dans la formulation actuelle.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 3 : Organiser le transport multimodal";"QR";"COMM-M3-QR-02";"Le fond est exact (trois fonctions du connaissement, LTA simple reçu et preuve non négociable, rétention du B/L comme levier de paiement). Réserve : le corrigé affirme sans nuance que le connaissement est négociable, alors que seule la forme à ordre (ou au porteur) l'est ; le connaissement nominatif n'est pas négociable. La question portant sur la négociabilité, au formateur de décider s'il ajoute cette précision.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 3 : Organiser le transport multimodal";"QR";"COMM-M3-QR-05";"Procédure exacte et sans erreur factuelle (état initial consigné, liste de colisage, arrimage, photos, scellé numéroté reporté aux documents, contrôle du plomb et réserves au dépotage). Point à arbitrer : pour un FCL maritime empoté par le chargeur, la déclaration de masse brute vérifiée (VGM), obligatoire depuis le 1er juillet 2016 (SOLAS ch. VI règle 2), n'est pas mentionnée ; ajout à valider par le formateur.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 5 : Gestion, affrètement et assurances";"QR";"COMM-M5-QR-02";"Comparaison RC transporteur / ad valorem juste sur le fond (souscripteur, objet, plafonds légaux, valeur réelle, franchise et exclusions, tous risques ou FAP sauf) ; exigence de l'écrit confortée par le contrat type. À arbitrer : dire que le défaut de proposition coûte « la différence entre valeur réelle et indemnité plafonnée » est un raccourci, la faute de conseil étant souvent indemnisée en perte de chance. Pas de correction proposée.";""
"Préparation à l'examen national Commissionnaire de transport";"Module 5 : Gestion, affrètement et assurances";"QR";"COMM-M5-QR-08";"Arithmétique exacte dans sa convention (200 000 ; 525 x 400 = 210 000 ; 24 x 700 = 16 800 ; 4 x 700 = 2 800 ; écart 4 000 €). Mais l'énoncé « T1 est 5 % moins cher que T2 », lu littéralement, donnerait T2 = 500/0,95 = 526,32 € (total 213 326 €, écart 3 474 €), alors que le corrigé applique +5 % à T1. Conclusion robuste, mais le barème exige 10 000 € et 4 000 € : reformuler l'énoncé ou accepter les deux lectures.";""
"Préparation aux examens Taxi et VTC";"Module 4 : Sécurité routière du conducteur T3P";"QR";"TAXI-M4-QR-05";"Procédure d'accueil PMR + enfant globalement exacte (responsabilité du conducteur sur la ceinture des passagers de moins de 18 ans, enfant sur les genoux interdit, dépose côté trottoir). À arbitrer : l'art. R412-2 dispense de siège homologué « tout enfant transporté dans un taxi » (ceinture seule, à l'arrière). Le corrigé et le barème exigent un dispositif adapté sans signaler cette dérogation, propre au taxi et inapplicable au VTC : un candidat la citant serait pénalisé à tort.";""
"Préparation aux examens Taxi et VTC";"Module 4 : Sécurité routière du conducteur T3P";"QR";"TAXI-M4-QR-07";"Cœur réglementaire exact : l'art. R412-6-1 interdit le port à l'oreille de tout dispositif émettant du son (hors correcteurs de surdité), d'où l'audio par haut-parleurs ; l'arrêt au feu rouge ne fait pas sortir le véhicule de la circulation, la manipulation y reste interdite. Réserve à arbitrer : « support fixe homologué », alors qu'aucun régime d'homologation des supports de téléphone n'existe (seule s'impose l'absence de gêne du champ de vision et des commandes).";""
"Préparation aux examens Taxi et VTC";"Module 5 : Réussir le français et l'anglais de l'examen";"QR";"TAXI-M5-QC-05";"Le fond (reformulation, prise de notes, justification par la vérification de la compréhension) ne contient aucune donnée chiffrée ni réglementaire erronée. Point à arbitrer : le corrigé décrit l'épreuve de français comme « compréhension puis restitution d'un message oral », alors que l'épreuve d'admissibilité de français du T3P est écrite (texte remis, questions et production écrite). Vérification en ligne non aboutie, je ne propose pas de réécriture.";""
"Préparation aux examens Taxi et VTC";"Module 5 : Réussir le français et l'anglais de l'examen";"QR";"TAXI-M5-QC-10";"L'arrêté du 6 avril 2017 définit l'épreuve de français de l'examen T3P comme 3 questions à réponse courte (2 pts chacune) + 7 QCM, avec retrait d'un point au-delà de 5 fautes d'orthographe ; il ne codifie aucun bonus explicite pour une réponse en phrase complète. Le postulat de la question (la phrase complète rapporte plus de points) relève du conseil pédagogique des centres d'examen, non d'une règle vérifiable dans les textes officiels : point éditorial à trancher par le formateur.";""
"Préparation aux examens Taxi et VTC";"Module 5 : Réussir le français et l'anglais de l'examen";"QR";"TAXI-M5-QR-04";"L'arithmétique est exacte : 50 - 25 = 25 euros rendus, conforme au corrigé et au barème, et les formulations anglaises sont correctes. Point à arbitrer : à exactement 25 euros la note taxi relève de l'obligation de délivrance, alors que le corrigé présente le reçu comme une simple courtoisie. La course étant pile au seuil et la formulation exacte du seuil n'ayant pas pu être vérifiée, à trancher par le formateur.";""
